YEARMADERANGE,WALLTYPE,ROOFTYPE,BEDROOMS,NCOMBATH,NHAFBATH,PRKGPLC1,STOVENFUEL,OVENUSE,AMTMICRO,DEFROST,TOASTER,NUMMEAL,FUELFOOD,COFFEE,NUMFRIG,TYPERFR1,SIZRFRI1,AGERFRI1,NUMFREEZ,DWASHUSE,WASHLOAD,DRYRUSE,TVCOLOR,TVSIZE1,TVTYPE1,TVONWD1,TVONWE1,NUMPC,TIMEON1,TIMEON2,TIMEON3,INTERNET,WELLPUMP,AQUARIUM,STEREO,BATTOOLS,HEATROOM,MOISTURE,FUELH2O,ACROOMS,USECENAC,PROTHERMAC,NUMCFAN,USECFAN,TREESHAD,RECBATH,LIGHTS,SLDDRS,WINDOWS,ADQINSUL,USENG,USESOLAR,ELWARM,ELWATER,ELFOOD,EMPLOYHH,Householder_Race,EDUCATION,NHSLDMEM,MEANAGE,RETIREPY,MONEYPY,POVERTY150,TOTSQFT,TOTHSQFT,TOTCSQFT,KWH,WSF
5,1,5,0,1,0,0,1,0,1,0,1,7,1,0,1,1,3,3,0,0,0,0,1,2,1,4,8,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,1,1,1,0,21,0,4,3,0,0,1,1,1,0,1,0,4,19.5,0,17500,1,404,404,404,9760,0.49
5,4,1,3,2,0,1,0,6,2,0,1,0,0,1,1,3,4,2,0,2,7,3,2,2,2,4,4,1,5,0,0,1,0,0,0,6,3,0,0,3,1,1,0,0,1,0,61,1,7,2,1,0,0,0,0,1,1,3,4,46.5,0,22500,1,1964,938,938,5071,0.43
1,1,0,1,1,0,0,0,0,1,0,0,3,0,0,1,4,3,2,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,1,1,1,84,1,8750,1,712,712,0,1200,0.61
1,4,4,4,3,1,0,0,28,3,0,0,10,0,1,3,3,3,7,0,5,7,3,4,2,2,2,2,2,1,1,0,1,0,0,1,2,8,1,0,9,3,1,3,3,1,0,29,0,30,3,1,0,0,0,0,1,2,7,2,21,0,130000,0,4357,2985,3358,13549,0.52
1,1,6,4,2,1,1,0,16,2,1,1,7,0,1,1,5,4,17,0,5,7,2,2,2,1,2,4,2,8,2,0,1,0,0,1,2,7,1,0,7,1,1,5,2,1,0,47,1,22,3,1,0,1,0,1,2,1,5,3,53.66666667,0,130000,0,4807,2690,2690,10913,0.62
2,2,6,4,3,1,1,1,9,2,1,0,7,1,1,2,3,4,7,0,5,7,3,1,2,2,1,4,4,2,2,1,1,1,0,1,0,9,0,0,9,1,1,4,2,1,0,7.5,0,22,2,0,0,0,0,1,1,1,7,3,42,0,130000,0,5801,3576,3576,16453,0.49
3,1,0,2,1,1,0,1,6,3,0,1,7,1,1,2,4,3,2,0,1,1,3,2,2,1,1,2,1,2,0,0,1,0,0,1,2,4,0,0,4,2,0,0,0,1,0,2.5,1,4,3,1,0,0,0,1,0,1,8,1,85,1,67500,0,1173,1173,1173,5265,0.69
5,2,5,2,1,1,0,1,9,2,0,0,5,1,1,1,4,2,3,0,1,3,3,2,3,2,1,2,1,2,0,0,1,0,0,0,2,5,0,1,5,1,0,2,2,1,0,2.5,1,7,3,1,0,0,1,1,2,1,3,1,65,1,32500,0,2013,1342,1342,3222,0.59
7,3,5,3,2,0,1,1,9,4,1,0,10,1,1,1,4,3,7,1,5,7,3,4,2,1,4,4,2,8,2,0,1,0,0,1,2,6,0,1,6,3,0,0,0,0,0,51,0,12,3,0,0,1,1,1,1,1,3,2,53.5,0,97500,0,2400,2000,2000,16235,0.46
4,4,5,4,2,0,1,0,1,2,1,0,5,0,1,1,4,4,3,1,2,3,3,4,3,4,8,8,2,8,5,0,1,0,0,0,0,7,0,0,7,3,1,6,3,0,0,36.5,1,7,4,1,0,0,0,0,1,1,3,4,29.25,0,62500,0,2088,1688,1688,11512,0.44
6,3,3,3,2,0,0,1,9,4,0,0,7,1,1,1,4,3,7,0,0,7,3,3,2,1,4,4,1,1,0,0,0,0,0,1,0,5,0,1,5,3,0,2,3,1,0,18,0,4,2,0,0,1,1,1,2,1,2,2,41,0,8750,1,1064,1064,1064,15298,0.47
7,1,0,4,2,1,0,1,9,2,0,0,10,1,0,1,4,4,3,0,0,7,3,4,3,2,2,4,1,5,0,0,1,0,0,0,0,7,0,0,7,3,1,3,2,0,0,0,1,7,4,1,0,0,0,1,0,2,5,4,17.25,0,2000,1,2831,2831,2831,12634,0.39
2,1,5,4,4,1,0,0,1,4,0,1,1,0,0,1,3,4,17,0,3,3,3,2,2,1,4,4,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,4,1,1,0,2.5,0,12,4,1,0,0,0,0,0,1,6,1,85,1,27500,0,4740,2107,0,11448,0.53
6,4,7,4,2,0,1,0,6,3,1,0,10,0,1,2,1,4,12,1,2,13,2,5,3,4,8,8,1,2,0,0,1,0,0,1,2,7,0,0,7,2,0,7,3,1,0,34,0,12,2,1,0,0,0,0,2,1,3,6,29.33333333,0,32500,1,2119,1719,1719,15219,0.45
7,3,5,3,2,0,1,0,6,4,1,0,5,0,0,1,3,4,3,0,5,7,3,2,3,2,4,4,1,5,0,0,1,0,0,0,2,6,0,0,4,1,0,1,3,0,0,60.5,1,12,2,1,0,1,0,0,1,1,2,2,28.5,0,130000,0,3360,1680,1120,27600,0.46
4,1,4,3,1,1,1,0,3,2,0,0,3,0,1,1,4,3,3,0,0,1,0,2,1,2,8,4,0,0,0,0,0,0,0,0,0,5,0,0,5,1,0,1,1,1,0,42.5,0,7,2,1,0,0,0,0,0,1,2,2,66.5,1,3750,1,1428,1178,1178,3149,0.55
1,3,5,2,1,0,0,1,6,2,1,1,1,1,1,2,4,2,7,0,0,3,3,4,2,2,4,4,0,0,0,0,0,0,0,0,2,5,0,0,5,3,0,3,2,1,0,2.5,0,7,4,1,0,1,0,1,0,1,2,2,71,1,32500,0,1645,1645,1645,5656,0.57
7,1,5,3,2,0,0,0,1,1,0,1,7,0,1,1,3,3,7,0,8,3,3,3,3,1,4,4,1,1,0,0,0,1,0,1,0,7,0,1,7,3,0,4,1,0,0,18.5,0,7,4,0,0,1,1,0,1,3,3,4,15.5,0,27500,1,1428,1428,1428,17253,0.43
3,5,0,0,1,0,0,0,1,3,1,1,5,1,1,1,4,4,3,0,8,0,0,0,0,0,0,0,2,8,2,0,1,0,0,0,2,1,0,0,1,3,0,1,3,0,0,13,1,2,4,1,0,1,0,1,1,1,6,1,54,0,62500,0,667,667,667,4975,0.48
7,0,5,3,2,0,1,0,6,2,1,0,10,0,1,1,4,3,7,0,5,7,3,2,2,2,4,8,1,1,0,0,1,0,0,1,2,4,0,0,0,0,0,1,1,0,0,8,1,7,4,1,0,0,0,0,2,1,2,3,36,0,17500,1,1484,1234,0,6296,0.65
1,1,0,1,1,0,0,0,0,2,0,0,10,0,0,1,4,3,7,0,0,0,0,2,2,3,8,4,1,5,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,7,4,1,0,0,0,0,2,1,2,3,19,0,12500,1,598,598,399,3932,0.57
1,3,6,3,2,1,0,1,3,2,1,0,7,1,0,2,5,4,12,1,3,7,3,1,1,1,1,1,1,1,0,0,1,0,0,0,2,7,1,0,7,2,0,8,2,1,0,5,1,22,4,0,0,1,0,1,1,1,2,2,47,0,130000,0,3574,3574,3574,18961,0.56
4,4,5,5,2,1,1,0,1,4,1,1,5,0,1,2,3,4,22,1,3,3,2,5,2,1,8,4,1,2,0,0,1,0,0,1,2,8,0,0,0,0,0,0,0,0,0,31,1,12,2,1,0,1,0,0,0,4,5,2,63.5,1,110000,0,2251,1851,463,8399,0.34
4,3,5,4,1,1,1,1,6,1,1,0,10,1,1,2,3,4,12,0,1,3,3,4,3,2,8,4,0,0,0,0,0,0,0,1,2,7,0,0,0,0,0,1,2,0,0,5,1,12,2,1,0,1,0,1,0,0,3,3,54.33333333,1,12500,1,2360,1960,280,8323,0.6
5,4,1,3,2,0,1,0,3,4,0,0,7,1,1,1,3,5,17,0,0,3,3,2,3,2,1,2,3,10,5,5,1,0,0,0,6,8,0,0,8,1,1,0,0,1,1,58,1,18,3,1,0,0,0,1,1,4,8,4,28.75,0,130000,0,2631,1981,1981,8360,0.42
2,3,6,3,1,0,1,1,6,1,1,0,5,1,1,1,1,3,12,0,0,3,3,2,3,2,2,2,1,2,0,0,1,0,0,0,2,5,0,1,0,0,0,0,0,1,0,0,0,12,3,0,0,0,1,1,1,1,3,2,33,0,82500,0,3056,2806,400,7265,0.59
5,2,6,4,2,0,0,1,16,4,1,1,18,1,1,2,1,3,2,1,0,7,3,4,3,2,4,8,1,8,0,0,1,1,0,1,6,8,0,1,0,0,0,0,0,1,0,33,0,12,4,1,0,1,1,1,1,3,3,9,21.66666667,0,37500,1,4032,2688,504,23001,0.6
1,0,5,3,2,1,1,1,6,4,1,0,7,1,1,2,4,4,3,0,5,7,3,4,2,1,4,8,1,2,0,0,1,0,0,1,6,7,1,0,0,0,0,6,3,0,0,49,0,22,3,1,0,1,0,1,1,1,6,2,42,0,130000,0,4404,2225,318,6808,0.63
1,4,5,3,1,0,0,0,3,2,0,0,10,0,1,1,4,3,7,1,8,3,3,1,3,2,12,12,1,8,0,0,1,0,0,0,6,7,0,0,0,0,0,5,3,1,0,45,0,22,2,1,0,1,0,0,0,1,4,2,64.5,1,22500,0,1260,473,105,10160,0.56
1,4,0,2,2,0,0,0,6,2,0,1,10,0,0,1,4,3,3,0,3,0,0,1,2,2,1,2,2,10,5,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,1,1,5,2,26.5,0,32500,0,608,0,0,4946,0.39
6,3,6,3,2,0,1,1,6,4,0,1,5,1,1,1,3,3,3,0,3,7,3,2,3,3,12,12,1,5,0,0,1,0,0,1,0,5,0,1,5,3,1,2,3,1,1,54.5,0,4,4,0,0,1,1,1,0,1,2,2,22.5,0,42500,0,1269,1019,1019,12037,0.42
4,3,0,1,1,0,0,1,16,3,0,1,18,1,0,1,4,3,7,0,0,0,0,1,2,2,12,12,1,10,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,21,0,4,4,0,0,1,1,1,0,1,8,1,73,1,12500,1,691,691,230,7788,0.51
4,1,5,3,2,0,1,1,16,3,1,0,10,1,1,1,4,3,3,0,3,7,3,2,3,4,4,8,1,2,0,0,1,0,0,0,2,5,1,1,5,3,1,4,3,0,0,33,0,12,4,0,0,1,1,1,1,1,5,4,14.75,0,92500,0,2256,1856,1856,14132,0.49
2,3,6,2,1,0,1,1,3,2,0,0,7,1,1,1,4,3,7,0,0,3,3,2,2,1,2,2,1,1,0,0,1,0,0,0,2,1,0,1,0,0,0,1,1,1,0,0,1,12,4,0,0,1,1,1,1,1,4,1,56,0,27500,0,2464,443,443,5294,0.53
6,1,5,5,3,1,1,0,3,4,0,1,3,0,0,2,3,4,7,0,5,13,3,3,2,1,12,12,2,2,1,0,1,0,0,1,0,8,0,0,8,2,1,5,1,0,0,42,0,12,3,1,0,0,0,0,1,1,3,4,32,0,87500,0,5800,5400,5400,20111,0.4
2,3,6,2,1,1,0,0,6,3,1,0,5,0,1,2,4,3,12,1,1,3,3,3,1,1,4,4,1,1,0,0,1,0,0,1,6,6,0,0,6,1,1,3,1,1,0,2.5,0,12,4,1,0,0,0,0,2,1,3,1,63,0,22500,0,2846,1423,1423,5739,0.62
6,3,5,3,2,0,0,0,1,4,0,0,3,1,1,1,4,3,17,1,2,1,3,0,0,0,0,0,1,5,0,0,1,0,0,1,2,6,0,1,6,3,0,0,0,0,0,2.5,0,12,4,0,0,0,1,1,1,1,4,1,41,0,42500,0,1456,1456,1456,5533,0.46
3,3,5,3,2,0,1,0,6,2,1,0,7,1,1,1,4,4,12,0,8,7,3,3,3,2,4,8,2,2,1,0,1,0,0,1,2,5,0,1,5,3,1,2,3,1,0,21,1,7,2,1,0,1,1,1,1,1,3,4,30.75,0,67500,0,2002,1602,1602,15942,0.48
1,4,5,2,1,0,0,0,28,1,0,1,18,0,0,1,4,3,7,0,0,7,3,2,3,3,2,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,2,2,0,0,5,0,12,3,1,0,0,0,0,1,1,2,3,20.66666667,0,27500,0,1020,1020,255,5152,0.38
6,1,5,2,1,1,0,0,3,3,1,0,7,0,0,1,4,4,7,0,2,3,3,2,3,2,2,4,1,2,0,0,1,0,0,0,0,5,0,0,5,3,0,2,3,0,0,183.5,0,7,3,1,0,0,0,0,1,1,3,3,31.33333333,0,57500,0,736,736,736,13457,0.48
