YEARMADERANGE,WALLTYPE,ROOFTYPE,BEDROOMS,NCOMBATH,NHAFBATH,PRKGPLC1,STOVENFUEL,OVENUSE,AMTMICRO,DEFROST,TOASTER,NUMMEAL,FUELFOOD,COFFEE,NUMFRIG,TYPERFR1,SIZRFRI1,AGERFRI1,NUMFREEZ,DWASHUSE,WASHLOAD,DRYRUSE,TVCOLOR,TVSIZE1,TVTYPE1,TVONWD1,TVONWE1,NUMPC,TIMEON1,TIMEON2,TIMEON3,INTERNET,WELLPUMP,AQUARIUM,STEREO,BATTOOLS,HEATROOM,MOISTURE,FUELH2O,ACROOMS,USECENAC,PROTHERMAC,NUMCFAN,USECFAN,TREESHAD,RECBATH,LIGHTS,SLDDRS,WINDOWS,ADQINSUL,USENG,USESOLAR,ELWARM,ELWATER,ELFOOD,EMPLOYHH,Householder_Race,EDUCATION,NHSLDMEM,MEANAGE,RETIREPY,MONEYPY,POVERTY150,TOTSQFT,TOTHSQFT,TOTCSQFT,KWH,WSF
7,1,5,4,1,2,1,1,9,2,1,0,5,1,1,2,3,4,7,0,3,3,3,4,3,2,4,4,2,5,5,0,1,0,0,0,2,9,0,1,9,3,1,3,3,0,0,57.0,1,12,4,0,0,1,1,1,1,1,5,4,19.75,0,110000,0,5075,3958,3958,18466,0.48
3,1,0,1,1,0,0,0,9,3,0,0,7,0,0,1,4,3,7,0,0,0,0,1,2,1,2,4,1,2,0,0,1,0,0,1,0,2,0,0,0,0,0,1,2,1,0,21.0,0,4,3,1,0,0,0,0,1,1,6,1,45.0,0,77500,0,528,528,264,2218,0.48
5,2,5,2,1,1,0,1,6,2,0,0,5,1,1,1,4,3,3,0,8,3,3,2,3,2,2,4,2,2,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5.0,1,7,3,1,0,0,0,1,1,1,5,1,40.0,0,87500,0,1912,1274,0,2869,0.61
1,4,6,3,1,0,0,0,9,2,0,0,7,0,1,1,4,4,7,2,0,3,3,1,2,1,8,4,2,2,2,0,1,0,0,0,0,6,0,0,3,2,1,1,1,1,0,39.5,0,7,3,1,0,0,0,0,1,1,4,2,55.0,0,17500,1,3485,3485,1538,6387,0.58
1,3,6,4,2,1,0,0,6,3,1,1,7,0,1,2,4,3,7,0,5,7,3,4,3,4,2,4,2,5,1,0,1,0,0,1,6,7,0,0,7,3,1,5,3,0,1,39.5,1,22,2,1,0,1,0,0,1,1,5,4,35.75,0,130000,0,2654,2296,1938,11821,0.51
1,2,5,3,1,0,0,0,0,1,0,1,7,0,0,1,3,4,12,0,0,3,3,2,3,2,4,2,0,0,0,0,0,0,0,0,0,7,0,1,7,1,1,0,0,0,0,0.0,0,18,4,1,0,1,1,0,2,1,3,1,47.0,0,37500,0,1635,1117,1117,9130,0.47
2,3,6,3,1,1,0,1,3,1,1,0,7,1,1,1,4,3,12,0,3,3,3,2,3,2,2,4,1,1,0,0,1,0,0,1,2,7,0,0,6,2,1,6,3,1,0,5.0,0,12,3,1,0,1,0,1,1,1,3,1,52.0,0,52500,0,2390,1365,1170,7474,0.47
3,2,6,3,1,1,1,0,1,2,0,0,7,0,1,2,4,4,7,0,5,13,3,2,2,2,4,12,5,5,10,2,1,0,0,1,6,7,0,0,7,2,1,5,3,0,0,24.0,0,22,3,1,0,0,0,0,1,1,6,3,41.333333333333336,0,130000,0,2185,1935,1456,11807,0.53
2,2,5,3,2,0,0,1,1,4,1,1,5,1,1,1,4,4,7,0,0,3,3,4,2,1,4,8,4,2,2,5,1,0,0,1,2,0,0,1,0,0,0,6,2,0,1,31.0,1,18,2,0,0,0,1,1,1,1,1,2,36.0,0,62500,0,1387,0,0,9775,0.33
5,3,0,2,2,0,0,1,6,3,1,1,5,1,1,1,4,3,7,0,3,7,3,2,2,2,12,12,0,0,0,0,0,0,0,1,0,4,0,1,4,3,1,3,2,0,0,10.5,1,2,4,0,0,1,1,1,1,1,2,1,62.0,0,22500,0,809,809,809,6335,0.4
