YEARMADERANGE,WALLTYPE,ROOFTYPE,BEDROOMS,NCOMBATH,NHAFBATH,PRKGPLC1,STOVENFUEL,OVENUSE,AMTMICRO,DEFROST,TOASTER,NUMMEAL,FUELFOOD,COFFEE,NUMFRIG,TYPERFR1,SIZRFRI1,AGERFRI1,NUMFREEZ,DWASHUSE,WASHLOAD,DRYRUSE,TVCOLOR,TVSIZE1,TVTYPE1,TVONWD1,TVONWE1,NUMPC,TIMEON1,TIMEON2,TIMEON3,INTERNET,WELLPUMP,AQUARIUM,STEREO,BATTOOLS,HEATROOM,MOISTURE,FUELH2O,ACROOMS,USECENAC,PROTHERMAC,NUMCFAN,USECFAN,TREESHAD,RECBATH,LIGHTS,SLDDRS,WINDOWS,ADQINSUL,USENG,USESOLAR,ELWARM,ELWATER,ELFOOD,EMPLOYHH,Householder_Race,EDUCATION,NHSLDMEM,MEANAGE,RETIREPY,MONEYPY,POVERTY150,TOTSQFT,TOTHSQFT,TOTCSQFT,KWH,WSF
5,3,5,3,2,0,1,1,6,3,0,1,5,1,0,1,4,4,17,0,3,13,3,2,3,2,8,12,1,2,0,0,1,0,0,1,6,5,0,0,5,1,0,4,3,0,0,33,0,12,3,1,0,1,0,1,1,2,7,4,34.25,0,82500,0,2112,1810,1482,18941,0.59
1,3,3,3,1,1,1,1,9,2,0,1,5,1,1,1,5,4,12,0,0,7,3,2,3,4,4,4,1,2,0,0,1,1,0,0,2,6,1,1,0,0,0,2,1,1,0,0,0,22,3,0,0,0,1,1,1,1,2,2,48.5,0,110000,0,2445,1270,0,8231,0.49
7,5,5,3,2,0,1,1,6,4,1,0,10,1,1,1,1,5,7,0,5,7,3,4,3,2,4,4,3,5,2,1,1,1,0,1,2,6,0,1,6,3,0,5,3,0,1,13,1,7,3,0,0,1,1,1,1,1,5,4,20.5,0,87500,0,2024,1624,1624,15020,0.37
2,1,0,3,1,1,0,0,28,2,0,0,5,0,0,2,4,3,22,1,0,0,0,4,2,2,4,12,3,5,2,1,1,0,0,0,0,6,0,0,6,1,0,1,1,0,0,7.5,1,18,4,1,0,0,0,0,1,2,3,5,21.8,0,27500,1,1254,1254,1254,3370,0.6
7,3,5,4,2,1,1,1,6,2,1,0,10,1,1,1,4,4,7,1,3,3,3,2,3,2,4,4,2,8,8,0,1,0,0,1,2,8,0,0,8,3,1,3,2,0,0,49.5,0,18,3,1,0,0,0,1,1,1,3,5,30.6,0,47500,0,3024,2774,2774,13921,0.43
3,3,6,2,1,0,1,1,6,3,0,0,7,1,0,1,4,5,3,0,0,3,3,2,3,3,2,4,0,0,0,0,0,1,0,0,10,7,0,0,0,0,0,3,1,0,0,22.5,0,12,4,0,0,0,0,1,2,1,2,1,27,0,47500,0,3248,3248,207,6510,0.6
3,3,6,3,2,0,1,1,3,2,0,0,7,1,1,2,5,3,2,1,3,3,3,2,2,1,4,4,2,2,1,0,1,1,0,0,2,8,0,1,5,1,1,1,1,1,0,31.5,0,18,4,0,0,0,1,1,1,1,4,2,66,1,37500,0,4805,4805,1378,19443,0.58
2,2,5,3,1,1,1,1,9,3,1,0,5,1,1,1,3,3,3,1,3,3,3,2,3,3,2,2,0,0,0,0,0,0,0,1,0,4,0,0,4,3,0,1,3,0,0,24,1,4,2,1,0,0,0,1,0,1,3,1,78,1,27500,0,2487,1166,1166,6880,0.53
4,1,5,4,2,0,1,1,16,2,0,1,10,1,1,1,4,3,12,0,5,7,3,3,2,1,12,12,1,2,0,0,1,0,0,0,2,6,0,1,6,3,1,5,2,0,0,35.5,1,12,2,0,0,1,1,1,0,1,6,2,49,0,67500,0,2567,894,894,19774,0.45
7,4,1,4,3,1,1,0,3,2,1,0,18,0,0,2,3,4,3,0,3,7,3,3,3,2,4,4,2,10,1,0,1,0,0,0,6,9,0,0,0,0,0,1,1,0,0,17.5,1,18,2,1,0,0,0,1,1,1,4,5,21.6,0,72500,0,4860,4460,0,6150,0.45
3,4,5,3,1,0,1,0,6,2,0,0,7,0,1,1,4,3,7,0,0,7,3,2,2,1,4,4,1,8,0,0,1,0,0,1,2,5,0,0,0,0,0,5,2,0,0,28.5,1,7,3,1,0,1,0,0,1,1,3,5,18.6,0,67500,0,889,889,0,3724,0.38
5,1,0,2,1,0,0,0,1,4,0,1,5,0,1,1,1,4,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,12,4,1,0,0,0,0,1,1,3,1,61,1,37500,0,755,755,504,1940,0.53
8,3,5,4,3,0,1,1,6,3,1,0,7,1,1,2,1,3,7,1,8,7,3,4,3,4,4,8,1,1,0,0,1,1,0,1,2,11,0,1,11,3,0,5,2,1,0,10.5,0,22,4,0,0,1,1,1,1,1,5,3,39.66666667,1,130000,0,5280,4880,4880,25948,0.46
1,2,5,2,1,0,0,1,3,4,0,0,18,0,0,1,3,4,7,0,0,13,3,3,3,2,2,4,1,2,0,0,1,0,1,1,2,2,0,0,0,0,0,2,2,0,0,42.5,0,12,2,1,0,1,0,1,1,3,2,3,48.33333333,1,22500,1,1610,644,0,7904,0.4
6,4,7,4,2,0,1,1,6,4,1,1,7,1,1,2,4,4,22,0,8,7,1,1,3,2,1,4,3,10,2,1,1,0,0,1,2,7,0,0,7,2,1,4,3,1,0,46,0,30,3,1,0,0,0,1,1,1,5,4,27.75,0,67500,0,2874,2224,2224,26870,0.46
2,0,5,3,1,0,0,0,28,4,0,0,10,0,0,1,4,2,7,0,0,7,3,1,2,1,12,12,1,5,0,0,1,0,0,0,0,5,0,0,5,3,1,0,0,1,0,31.5,0,12,3,1,0,0,0,0,1,1,4,1,34,0,27500,0,890,890,890,7929,0.53
4,4,5,2,1,0,1,0,6,1,0,0,18,0,1,1,4,4,3,0,0,0,0,1,1,1,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,20,0,7,4,1,0,0,0,0,0,1,1,5,27.2,0,32500,1,1276,0,0,4038,0.39
8,3,5,3,2,0,1,1,16,2,0,0,10,1,1,2,3,4,7,1,2,7,3,2,3,3,4,4,1,2,0,0,1,0,0,0,0,5,0,0,5,3,1,4,1,0,0,2.5,1,12,4,1,0,0,0,1,1,1,3,3,21.33333333,0,130000,0,4116,2080,2080,8396,0.45
3,1,5,2,1,0,0,1,6,1,0,0,5,1,1,2,5,3,7,2,0,3,3,1,1,1,4,4,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,1,0,10.5,0,7,3,0,0,1,1,1,0,1,2,1,75,1,22500,0,2112,1056,211,26927,0.43
4,5,5,4,2,0,0,1,6,4,1,0,18,1,1,1,5,5,17,1,8,13,3,3,2,1,2,2,5,10,8,1,1,0,0,0,10,8,0,1,8,3,1,10,2,0,0,117,1,12,4,0,0,1,1,1,1,1,3,4,39.5,0,47500,0,1720,1720,1720,27312,0.4
