YEARMADERANGE,WALLTYPE,ROOFTYPE,BEDROOMS,NCOMBATH,NHAFBATH,PRKGPLC1,STOVENFUEL,OVENUSE,AMTMICRO,DEFROST,TOASTER,NUMMEAL,FUELFOOD,COFFEE,NUMFRIG,TYPERFR1,SIZRFRI1,AGERFRI1,NUMFREEZ,DWASHUSE,WASHLOAD,DRYRUSE,TVCOLOR,TVSIZE1,TVTYPE1,TVONWD1,TVONWE1,NUMPC,TIMEON1,TIMEON2,TIMEON3,BATTOOLS,INTERNET,WELLPUMP,AQUARIUM,STEREO,HEATROOM,MOISTURE,FUELH2O,ACROOMS,USECENAC,PROTHERMAC,NUMCFAN,USECFAN,TREESHAD,RECBATH,LIGHTS,SLDDRS,WINDOWS,ADQINSUL,USENG,USESOLAR,ELWARM,ELWATER,ELFOOD,EMPLOYHH,Householder_Race,EDUCATION,NHSLDMEM,MEANAGE,RETIREPY,MONEYPY,POVERTY150,TOTSQFT,TOTHSQFT,TOTCSQFT,KWH,WSF
3,1,1,1,1,0,0,0,9,3,0,0,7,0,0,1,4,3,7,0,0,0,0,1,2,1,2,4,1,2,0,0,0,1,0,0,1,2,0,0,0,0,0,1,2,1,0,21,0,4,3,1,0,0,0,0,1,1,6,1,45,0,77500,0,528,528,264,2218,0.48
5,6,5,3,2,1,1,0,6,4,0,0,10,1,1,2,4,4,3,0,5,3,3,5,3,1,8,4,2,2,2,0,0,1,0,0,1,7,1,1,7,3,0,1,1,0,0,8,1,12,4,1,0,0,1,1,0,1,2,1,75,1,37500,0,2023,1623,1623,10015,0.55
6,3,5,4,2,1,1,1,9,4,1,0,7,1,1,2,4,4,7,0,5,7,3,4,3,2,4,12,3,5,5,1,2,1,0,0,0,9,1,1,9,3,1,0,0,1,0,98,1,18,3,1,0,0,1,1,1,1,5,2,57.5,1,130000,0,4740,3680,3680,13020,0.46
3,3,5,3,1,0,0,0,0,1,0,1,5,0,0,1,4,1,3,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.5,0,12,2,0,0,0,0,0,0,2,1,1,46,0,2000,1,1482,0,247,2079,0.45
7,4,1,4,2,1,1,0,1,2,0,0,3,0,0,1,3,4,7,0,1,1,3,2,2,2,4,4,0,0,0,0,0,0,0,0,0,8,0,0,8,2,1,6,2,1,0,10.5,1,12,4,1,0,1,0,0,0,2,5,1,80,1,12500,1,3834,3184,3184,4413,0.37
4,3,6,5,2,0,1,1,1,2,1,0,10,1,1,1,4,3,7,0,8,3,3,4,2,2,4,4,3,5,2,5,2,1,0,0,0,9,1,1,9,1,0,1,1,1,0,55.5,1,12,4,1,0,0,1,1,0,1,3,2,50,1,32500,0,4455,4055,3650,19041,0.57
4,3,5,3,1,1,0,1,9,2,0,1,7,1,1,1,2,4,7,0,3,3,3,5,3,2,4,8,2,1,1,0,0,1,0,0,0,7,1,0,4,3,1,3,1,1,0,23.5,1,12,3,0,0,0,0,1,1,1,3,2,61,0,110000,0,1638,1365,624,11009,0.47
3,3,5,4,1,1,1,1,3,4,1,0,7,1,1,1,3,3,12,0,3,7,3,2,1,2,2,1,2,5,1,0,2,1,0,0,1,4,0,1,4,1,1,5,3,1,0,2.5,0,7,4,0,0,1,1,1,1,1,5,1,59,0,82500,0,2191,971,971,19950,0.44
7,3,5,3,2,0,0,1,9,3,0,0,10,1,1,1,3,4,2,1,3,7,3,2,3,1,2,4,3,5,2,2,0,1,0,0,0,5,0,1,5,3,0,3,3,1,0,7.5,0,12,4,0,0,1,1,1,2,1,2,4,31.75,0,32500,1,1488,1488,1488,31973,0.47
3,4,5,3,2,0,0,0,0,3,0,1,10,0,0,1,4,4,7,0,3,3,3,3,3,2,2,4,2,2,1,0,2,1,0,0,1,5,0,0,0,0,0,0,0,0,0,18.5,0,4,4,1,0,0,0,0,0,1,1,4,31.75,0,22500,1,1131,1131,0,2840,0.37
