YEARMADERANGE,WALLTYPE,ROOFTYPE,BEDROOMS,NCOMBATH,NHAFBATH,PRKGPLC1,STOVENFUEL,OVENUSE,AMTMICRO,DEFROST,TOASTER,NUMMEAL,FUELFOOD,COFFEE,NUMFRIG,TYPERFR1,SIZRFRI1,AGERFRI1,NUMFREEZ,DWASHUSE,WASHLOAD,DRYRUSE,TVCOLOR,TVSIZE1,TVTYPE1,TVONWD1,TVONWE1,NUMPC,TIMEON1,TIMEON2,TIMEON3,BATTOOLS,INTERNET,WELLPUMP,AQUARIUM,STEREO,HEATROOM,MOISTURE,FUELH2O,ACROOMS,USECENAC,PROTHERMAC,NUMCFAN,USECFAN,TREESHAD,RECBATH,LIGHTS,SLDDRS,WINDOWS,ADQINSUL,USENG,USESOLAR,ELWARM,ELWATER,ELFOOD,EMPLOYHH,Householder_Race,EDUCATION,NHSLDMEM,MEANAGE,RETIREPY,MONEYPY,POVERTY150,TOTSQFT,TOTHSQFT,TOTCSQFT,KWH,WSF
1,1,0,2,1,0,0,1,1,0,0,0,7,1,1,1,4,3,7,0,0,0,0,1,2,1,8,4,1,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,18.5,0,4,3,1,0,0,0,1,0,1,1,2,65,1,32500,0,689,689,0,3247,0.6
1,3,5,3,1,0,0,1,1,0,0,1,7,1,1,1,4,3,22,0,0,3,3,2,2,1,2,8,1,2,0,0,6,1,0,0,1,4,0,0,4,1,1,4,2,0,0,21,0,22,2,1,0,0,0,1,1,1,4,1,45,0,67500,0,1722,765,765,2707,0.54
4,1,5,3,2,1,1,1,1,1,1,0,10,1,1,1,3,4,3,1,1,3,3,3,3,2,4,4,2,5,5,0,0,1,0,0,1,5,0,0,5,3,0,2,2,1,0,42,0,22,4,1,0,0,0,1,1,1,5,4,26.5,0,87500,0,2064,1664,1664,14609,0.36
5,3,6,4,3,1,1,0,6,2,1,0,18,0,1,2,3,5,12,0,3,7,3,2,3,2,4,2,3,5,1,1,0,1,1,0,1,7,0,0,0,0,0,1,2,1,1,5,0,22,4,0,0,0,0,1,1,1,4,4,22.5,0,72500,0,3438,2127,0,13455,0.45
6,2,5,3,2,0,1,0,1,3,0,0,7,0,1,1,4,3,3,0,1,1,3,2,3,2,4,4,1,2,0,0,2,1,0,0,1,6,0,0,0,0,0,3,1,0,0,5,1,18,4,1,0,1,0,0,0,5,4,1,66,1,27500,0,2478,2078,0,3504,0.53
1,1,1,5,2,2,0,1,9,3,1,0,7,1,1,2,3,3,22,1,3,7,3,3,2,3,2,4,3,2,2,1,2,1,0,0,1,10,0,0,10,3,1,4,3,1,0,43.5,0,30,2,1,0,0,0,1,1,1,7,2,33,0,110000,0,4879,3867,3867,18359,0.44
3,4,6,2,1,1,0,0,6,1,0,0,7,0,1,1,4,4,12,0,0,0,0,2,2,2,2,2,2,5,5,0,2,1,0,0,0,4,0,0,0,0,0,0,0,1,0,21,1,7,3,1,0,0,0,0,1,1,3,2,25,0,130000,0,1038,1038,0,2475,0.39
8,1,5,4,3,0,1,0,6,3,0,0,7,1,1,2,3,5,3,0,3,7,3,2,3,2,2,2,2,5,5,0,6,1,1,0,0,9,1,0,9,3,1,13,1,0,0,42,0,30,4,1,0,1,0,1,2,1,6,2,73,1,42500,0,4274,3874,3874,23020,0.51
6,7,0,0,1,0,0,1,0,1,0,0,18,1,0,1,4,3,2,0,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,3,1,0,0,0,1,1,4,1,1,62,0,27500,0,400,0,0,1613,0.52
7,1,5,5,3,0,1,1,16,4,1,1,10,1,1,2,3,4,7,0,3,7,3,3,3,2,8,2,4,10,10,10,6,1,0,0,1,10,0,0,10,1,0,7,3,0,1,15.5,0,18,3,1,0,1,0,1,0,1,2,4,25.75,0,37500,0,6192,3542,3542,27167,0.47
7,3,5,4,2,1,1,0,9,3,0,0,7,0,1,1,3,4,7,0,8,7,3,2,2,1,4,4,3,10,8,2,2,1,0,0,0,8,1,0,8,1,1,1,2,0,0,21,0,12,3,1,0,1,0,0,2,1,5,5,27.2,0,52500,0,3373,2973,2168,9303,0.57
5,3,6,3,1,0,0,0,1,3,0,0,18,0,0,1,4,3,17,0,0,7,3,1,3,1,1,4,1,2,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2.5,0,7,2,1,0,0,0,0,1,6,1,5,15.6,0,27500,1,2201,1402,0,7953,0.58
4,3,1,4,2,1,1,0,9,3,0,1,5,0,0,1,3,4,7,1,0,3,3,3,2,1,4,2,1,8,0,0,0,1,0,0,0,7,0,1,0,0,0,0,0,0,0,0,1,12,3,1,0,1,1,0,1,4,5,3,66,1,52500,0,2292,1656,0,7211,0.46
6,2,5,3,3,0,1,1,3,2,1,1,3,1,1,2,3,4,22,1,2,3,3,4,2,1,8,8,0,0,0,0,2,0,0,0,1,7,1,0,7,3,1,5,2,0,0,10.5,1,4,4,1,0,0,0,1,0,1,3,1,78,1,37500,0,2880,2480,2480,10162,0.51
7,3,6,3,2,0,0,1,1,2,1,0,7,1,1,1,4,3,7,0,3,3,3,2,2,1,4,8,1,2,0,0,0,0,0,0,0,4,0,1,4,1,1,1,3,0,0,31.5,0,12,4,1,0,0,1,1,0,1,4,1,54,0,27500,0,1216,811,811,7713,0.69
4,2,0,2,2,0,0,1,16,2,0,0,10,1,0,1,3,4,3,1,3,3,2,2,1,1,8,4,1,2,0,0,0,0,0,0,1,4,0,1,4,3,1,0,0,0,0,28,0,7,3,0,0,1,1,1,0,1,2,1,52,1,12500,1,863,863,863,8772,0.4
5,1,0,2,1,0,0,1,6,2,1,0,5,1,1,1,4,3,7,0,5,0,0,2,3,3,8,8,1,1,0,0,0,1,0,0,1,5,0,0,5,1,0,0,0,1,0,37,1,4,2,1,0,0,0,1,0,6,4,2,22,0,42500,0,1200,1200,1200,5736,0.59
5,2,2,3,2,0,0,1,16,4,0,1,5,1,0,1,4,3,3,0,0,1,3,2,2,1,4,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,92.5,0,7,3,1,0,1,0,1,2,2,1,4,11.5,1,2000,1,1700,1700,0,1565,0.46
6,3,5,2,1,1,1,1,9,3,1,0,7,1,1,1,1,3,17,1,0,3,3,2,2,1,8,12,0,0,0,0,0,0,0,0,0,5,0,0,5,3,0,2,3,0,0,2.5,0,4,4,1,0,1,0,1,1,1,2,1,59,0,42500,0,1645,1245,1245,3527,0.58
2,2,6,4,2,0,1,1,16,0,0,1,7,1,0,2,2,5,7,1,8,13,2,1,1,1,8,12,2,8,1,0,0,1,0,0,0,9,0,0,7,1,0,0,0,0,0,92.5,0,30,3,0,0,1,0,1,1,1,6,7,41.57142857142857,1,57500,0,3040,2640,2053,8742,0.53
5,2,2,3,1,1,1,1,3,2,0,0,7,1,0,1,4,4,2,0,3,3,3,3,2,3,12,12,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,21,1,7,3,0,0,1,1,1,0,3,3,3,22.333333333333332,0,17500,1,1376,1126,0,18877,0.55
1,3,5,3,1,1,0,1,6,2,1,1,7,1,0,1,3,5,7,0,0,7,2,2,2,1,2,2,3,10,10,2,6,1,0,0,1,7,0,0,0,0,0,4,2,1,0,31.5,0,12,2,0,0,1,0,1,1,1,5,3,36.666666666666664,0,130000,0,4000,2800,343,9963,0.53
6,4,5,3,2,0,0,0,1,2,0,0,10,0,1,1,3,3,12,1,0,7,2,3,3,2,8,8,1,2,0,0,0,1,0,0,1,6,0,0,6,1,0,4,2,0,0,5,0,7,4,1,0,0,0,0,0,1,5,3,47.333333333333336,1,12500,1,1596,1596,1596,6390,0.53
5,2,0,1,1,0,0,1,0,1,0,0,0,0,0,1,4,3,12,0,0,0,0,1,2,1,12,12,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,20,0,4,4,1,0,1,0,0,0,1,1,1,85,1,22500,0,592,592,296,3532,0.69
4,3,2,2,1,0,0,1,6,2,0,0,7,1,0,1,4,3,7,0,0,0,0,2,1,1,8,12,0,0,0,0,2,0,0,0,1,4,0,1,4,3,1,0,0,0,0,20,0,4,3,0,0,1,1,1,2,2,2,2,13.5,0,3750,1,886,886,886,9947,0.43
3,3,5,3,1,0,0,0,16,4,1,0,18,0,1,2,4,4,7,1,2,3,2,3,2,1,4,4,1,1,0,0,0,1,0,0,0,6,1,0,6,3,1,5,3,1,0,2.5,0,7,3,1,0,0,0,0,0,1,2,1,75,1,3750,1,1700,1700,850,6542,0.58
1,1,5,3,1,0,0,0,1,3,0,0,1,0,0,1,3,3,7,0,1,1,2,2,2,1,4,4,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,2,1,0,0,10.5,0,12,4,1,0,0,0,0,1,1,2,1,55,0,27500,0,3746,3122,0,2597,0.64
4,1,0,1,1,0,0,1,3,4,1,0,5,1,1,1,4,3,12,0,0,0,0,1,2,2,4,8,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,22.5,0,4,4,0,0,1,1,1,0,1,1,1,85,1,12500,1,646,646,215,4700,0.56
2,1,5,2,1,1,1,1,6,2,1,0,5,1,0,1,1,3,12,0,0,13,3,3,2,1,4,4,0,0,0,0,0,0,0,0,0,4,1,0,4,3,0,4,2,1,0,66,0,18,3,1,0,1,0,1,0,1,2,1,85,1,97500,0,3384,1499,1499,7060,0.45
3,3,3,3,1,0,0,0,16,3,0,0,7,0,1,1,4,4,7,0,0,3,3,2,2,2,4,8,2,2,2,0,6,1,0,0,0,6,1,0,0,0,0,1,2,0,0,21,0,7,3,1,0,0,0,0,1,1,2,4,58,0,42500,0,2318,1680,933,6742,0.58
1,1,6,5,2,1,0,1,6,2,1,0,7,1,1,2,1,4,3,1,0,7,3,4,3,3,12,12,1,8,0,0,0,1,0,0,0,7,0,0,7,2,1,3,2,1,0,64,0,2,3,1,0,0,0,1,0,1,5,3,75.66666666666667,1,37500,0,3877,3139,3139,17135,0.54
8,3,5,6,4,0,1,1,16,4,0,1,5,0,1,2,5,4,3,1,3,13,3,9,3,3,8,12,5,2,2,2,6,1,0,0,1,11,0,0,11,3,1,7,3,0,0,82,0,22,4,1,0,1,0,1,1,1,3,6,21.666666666666668,0,57500,0,5172,4772,4772,33424,0.41
8,3,0,2,2,0,0,1,9,2,0,0,7,1,1,1,1,2,3,0,1,3,2,2,2,1,2,1,2,1,1,0,0,1,0,0,1,5,0,1,2,1,0,0,0,0,0,2.5,0,4,3,0,0,1,1,1,1,1,3,2,21,0,42500,0,848,707,283,2820,0.58
7,1,5,4,2,1,1,0,6,2,1,0,5,0,1,3,3,4,7,0,3,3,3,6,3,2,4,12,3,5,5,10,2,1,0,0,0,9,0,0,9,3,1,4,2,0,0,55,0,22,3,1,0,0,0,0,1,2,5,3,48,0,130000,0,3496,3096,3096,21400,0.49
4,3,0,0,1,0,0,1,6,2,0,0,18,1,1,1,4,2,12,0,0,0,0,1,2,3,12,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,30,0,4,3,0,0,1,0,1,0,1,2,1,76,0,12500,1,640,640,640,5497,0.54
6,1,5,3,2,1,1,0,1,2,0,0,7,0,0,1,3,4,7,0,1,13,3,2,3,4,8,12,1,10,0,0,0,1,0,0,0,7,0,0,7,3,0,4,3,1,0,26.5,0,12,3,1,0,0,0,0,1,1,2,5,25,0,52500,0,2300,1900,1900,14630,0.43
6,1,5,4,3,1,1,0,1,2,1,0,10,0,1,2,3,4,2,0,5,7,3,6,2,2,8,2,4,10,2,5,6,1,0,0,1,9,0,0,9,3,0,7,2,1,0,8,0,30,3,1,0,0,0,0,2,1,3,4,34,0,130000,0,4104,3704,3704,23576,0.41
2,2,5,4,3,0,0,1,1,4,0,0,7,1,1,2,1,3,7,1,3,3,3,2,2,1,2,2,0,0,0,0,2,0,1,0,0,8,0,1,0,0,0,1,1,1,0,10.5,0,18,4,0,0,0,1,1,0,1,5,1,79,1,12500,1,3287,3287,548,5366,0.52
4,7,3,3,1,0,0,1,0,1,0,0,1,1,0,1,4,2,7,0,0,1,3,1,3,1,8,8,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,5,0,22,3,0,0,1,1,1,1,2,1,1,70,1,27500,0,1092,728,364,13254,0.38
6,3,6,6,3,0,1,1,3,4,0,0,5,1,0,1,3,4,7,1,5,13,3,6,3,2,12,12,3,1,2,1,2,1,0,0,1,10,0,0,10,3,0,5,3,1,0,81.5,0,12,3,1,0,0,0,1,1,1,2,5,22.6,0,110000,0,2401,1858,1858,11986,0.55
1,3,5,5,3,0,0,1,6,3,0,1,18,1,0,2,4,3,3,0,5,13,3,5,2,1,4,8,4,5,2,1,0,1,0,0,0,3,0,1,0,0,0,3,3,0,0,20.5,1,22,2,0,0,1,1,1,0,1,3,7,19.428571428571427,0,130000,0,3203,466,466,7621,0.48
7,1,0,1,1,0,0,0,0,0,0,0,5,0,0,1,4,3,7,0,0,0,0,1,2,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,42.5,0,4,3,1,0,0,0,0,0,1,1,1,77,0,8750,1,850,850,850,3021,0.53
4,3,5,3,1,0,1,0,3,3,0,0,7,0,1,1,3,5,2,1,0,3,3,1,2,1,12,12,1,5,0,0,6,1,0,0,1,6,1,0,6,3,0,2,1,0,0,37,1,12,3,1,0,0,0,0,0,1,2,2,70.5,1,37500,0,1920,1920,1920,7085,0.52
6,3,6,3,2,0,0,1,6,1,0,0,5,1,1,1,3,5,12,0,1,7,3,2,2,2,2,4,1,1,0,0,10,1,1,0,0,6,0,1,6,3,1,6,1,0,0,5,0,12,4,1,0,0,1,1,1,1,3,2,46.5,0,67500,0,1680,1680,1680,20448,0.43
7,3,5,2,1,0,1,1,6,2,1,1,7,1,1,1,4,3,7,0,3,3,2,2,2,2,4,4,1,1,0,0,0,1,0,0,0,3,0,0,3,3,0,2,3,0,0,5,1,4,4,1,0,1,0,1,0,1,2,1,71,1,2000,1,1330,1080,1080,4299,0.55
