YEARMADERANGE,WALLTYPE,ROOFTYPE,PRKGPLC1,BEDROOMS,DEFROST,SIZRFRI1,NUMFREEZ,HEATROOM,STOVENFUEL,NCOMBATH,NHAFBATH,OVENUSE,AMTMICRO,TOASTER,NUMMEAL,FUELFOOD,COFFEE,NUMFRIG,TYPERFR1,AGERFRI1,DWASHUSE,WASHLOAD,DRYRUSE,TVCOLOR,TVSIZE1,TVTYPE1,TVONWD1,TVONWE1,NUMPC,TIMEON1,TIMEON2,TIMEON3,BATTOOLS,INTERNET,WELLPUMP,AQUARIUM,STEREO,MOISTURE,FUELH2O,ACROOMS,USECENAC,PROTHERMAC,NUMCFAN,USECFAN,TREESHAD,RECBATH,SLDDRS,WINDOWS,ADQINSUL,USENG,USESOLAR,ELWARM,ELWATER,ELFOOD,EMPLOYHH,Householder_Race,EDUCATION,NHSLDMEM,RETIREPY,MONEYPY,POVERTY150,TOTSQFT,TOTHSQFT,TOTCSQFT,KWH,WSF,MEANAGE,LIGHTS
4,3,6,0,4,1,4,1,7,1,2,0,6,2,0,7,0,0,2,3,7,0,3,3,4,3,2,4,4,1,2,0,0,0,1,0,0,0,1,0,7,3,1,4,3,0,0,0,18,4,1,0,0,0,0,1,1,4,2,1,62500,0,3061,3061,3061,11136,0.59,62,18.5
5,1,5,0,1,0,3,0,3,5,1,0,0,3,1,5,1,0,1,4,2,0,0,0,1,2,1,8,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,4,4,0,0,1,1,1,0,1,5,1,1,6250,1,344,344,0,885,0.58,65,5
1,2,2,0,2,0,4,0,4,-2,1,0,0,2,0,10,1,0,1,4,12,0,0,0,1,2,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,12,3,0,0,0,0,1,0,1,4,1,1,12500,1,2160,1080,540,4522,0.48,83,32
4,3,5,0,2,0,3,0,4,5,2,0,1,2,0,7,1,1,1,4,22,0,3,2,1,2,1,4,2,0,0,0,0,2,0,0,0,0,0,0,4,2,0,1,2,0,0,1,4,2,1,0,1,0,1,1,1,5,1,0,32500,0,1003,1003,1003,5351,0.6,40,10.5
4,6,2,0,3,0,3,1,6,5,2,0,1,3,0,7,1,1,1,4,12,8,13,2,2,3,2,12,12,1,1,0,0,2,1,0,0,0,0,1,6,3,0,9,2,1,0,0,12,3,0,0,1,1,1,0,1,3,3,0,47500,0,2572,2572,2572,46641,0.46,67,0
1,3,5,0,4,1,3,1,8,1,1,1,3,2,0,7,0,0,2,3,7,5,3,3,3,3,2,2,2,2,2,1,0,2,1,0,0,0,0,0,8,2,0,3,2,0,0,0,12,3,1,0,0,0,0,1,2,3,2,0,37500,0,3200,2400,2400,8426,0.59,54.5,7.5
6,1,5,1,4,0,4,0,8,5,2,1,9,3,0,5,1,1,1,3,7,3,7,3,2,2,2,2,2,1,2,0,0,2,1,0,0,0,0,0,8,3,1,1,1,1,0,0,18,4,1,0,0,0,1,1,1,6,2,0,110000,0,4872,3403,3403,8970,0.49,52.5,13
6,3,6,0,3,1,3,1,6,2,2,1,1,4,1,5,0,1,1,1,12,1,1,3,1,2,1,2,2,0,0,0,0,0,0,1,0,1,0,1,6,1,0,3,3,0,0,1,30,3,0,0,0,1,0,2,1,2,1,0,37500,0,1620,1620,1620,908,0.56,47,2.5
7,3,5,0,4,0,4,0,7,-2,3,0,9,3,0,10,1,1,2,3,7,8,7,3,2,3,3,12,12,1,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,30,4,0,0,1,1,1,1,1,2,4,0,42500,0,3044,2368,0,43684,0.57,18.25,157.5
1,3,6,0,4,1,3,1,6,1,1,0,16,2,0,10,0,1,1,4,7,1,7,3,4,3,2,12,12,1,1,0,0,0,1,0,0,1,1,1,0,0,0,3,3,0,0,0,7,3,1,0,0,1,0,0,1,3,3,1,62500,0,2977,2041,1021,5158,0.7,35.666666666666664,23.5
